OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
GB-BV-052	44	1	1335.30693	152.51485	1364.62376	110.89109
GB-BV-052	45	0	1126.04950	144.79208	1082.01980	123.76238
GB-BV-052	45	1	1166.04950	135.48515	1123.40594	109.90099
GB-BV-052	46	0	1060.74257	230.44554	1081.74257	214.57426
GB-BV-052	46	1	1092.62376	244.30693	1112.83168	227.04950
GB-BV-052	47	0	86.93069	176.87129	108.71287	228.30693
GB-BV-052	47	1	20.39604	169.74257	61.78218	226.72277
GB-BV-052	48	0	1388.04950	173.96040	1353.74257	133.30693
GB-BV-052	48	1	1344.48515	155.14851	1304.83168	115.48515
GB-BV-052	49	0	689.92079	375.37624	741.24752	375.68317
GB-BV-052	49	1	486.96040	308.88119	560.05941	320.43564
GB-BV-052	50	0	1626.87129	373.36634	1765.37624	337.90099
GB-BV-052	50	1	1370.75248	382.86139	1458.03960	361.09901
GB-BV-052	51	0	1282.55446	487.38944	1262.89109	477.04400
GB-BV-052	51	1	938.71287	372.74477	894.25743	364.17712
GB-BV-052	52	0	979.04950	454.42574	1036.61386	445.83168
GB-BV-052	52	1	1177.56436	433.33663	1255.89109	419.76238
GB-BV-052	53	0	1228.91089	484.01980	1174.51485	474.89109
GB-BV-052	53	1	943.92079	394.45545	881.58416	379.00990
GB-BV-080	0	0	1134.27072	409.02985	741.86988	440.88060
GB-BV-080	1	0	1471.91089	613.27943	1142.41584	660.70517
GB-BV-080	1	1	1568.14851	641.55666	1235.08911	694.81738
GB-BV-080	2	0	741.49505	391.96480	871.79208	406.35754
GB-BV-080	3	0	563.02970	339.94829	693.86139	355.24752
GB-BV-080	4	0	560.03960	727.39824	418.22772	727.79208
GB-BV-080	4	1	628.95050	709.44444	482.68317	713.87789
GB-BV-080	5	0	969.48515	515.46865	951.76238	536.65017
GB-BV-080	5	1	1003.19802	541.05281	983.39604	562.53355
GB-BV-080	6	0	1096.37624	633.06711	890.66337	661.98790
GB-BV-080	7	0	903.96040	669.45435	777.47525	689.11551
GB-BV-080	7	1	818.11881	676.78548	697.09901	692.31243
GB-BV-080	8	0	1543.36634	198.41584	1380.59406	209.10891
GB-BV-080	9	0	1564.75248	235.24752	1411.48515	251.88119
GB-BV-080	10	0	1188.87129	304.17492	744.64356	337.43674
GB-BV-080	10	1	1023.59406	311.10671	588.11881	347.43674
GB-BV-080	11	0	686.03960	442.87019	403.92079	467.43784
GB-BV-080	11	1	529.42574	414.07481	239.12871	444.38944
GB-BV-080	12	0	856.84785	485.84328	851.37671	503.08955
GB-BV-080	12	1	805.97692	489.87313	798.49108	509.13433
GB-BV-080	13	0	830.43564	482.68867	678.08911	504.07371
GB-BV-080	13	1	932.01980	479.84598	778.82178	503.50715
GB-BV-080	14	0	1063.24752	450.73597	761.99010	481.36634
GB-BV-080	14	1	1252.96040	362.61716	915.79208	394.16722
GB-BV-080	15	0	899.67327	214.92519	850.85149	238.86249
GB-BV-080	15	1	811.68317	124.27063	752.74257	153.34983
GB-BV-080	16	0	1752.53465	406.57866	1550.57426	441.94829
GB-BV-080	16	1	1912.12871	383.49065	1730.86139	422.63366
GB-BV-080	17	0	1550.64356	445.37404	1598.43564	476.46095
GB-BV-080	17	1	1641.83168	459.43784	1699.27723	493.81628
GB-BV-080	18	0	1369.08911	487.33663	1225.00990	520.45325
GB-BV-080	18	1	1524.16832	335.69637	1393.16832	361.72057
GB-BV-080	19	0	529.75248	245.80088	412.53465	279.64136
GB-BV-080	19	1	404.70297	189.24642	285.17822	230.91639
GB-BV-080	20	0	1279.57426	411.83828	1284.11881	436.79868
GB-BV-080	20	1	1185.89109	337.69637	1187.82178	358.68867
GB-BV-080	21	0	884.33663	297.07481	620.76238	330.42904
GB-BV-080	21	1	808.60396	186.17712	572.41584	224.71947
GB-BV-080	22	0	729.90099	333.67327	663.89109	355.89329
GB-BV-080	22	1	604.10891	329.48405	543.27723	353.69637
GB-BV-080	23	0	212.90099	5.53575	30.00000	74.76788
GB-BV-080	23	1	488.87129	100.42794	249.80198	151.00330
GB-BV-080	24	0	1473.46535	362.17712	1512.72277	385.26403
GB-BV-080	24	1	1405.74257	332.55336	1433.41584	353.24642
GB-BV-080	25	0	1340.13861	427.62596	1368.37624	452.05061
GB-BV-080	25	1	1436.52475	436.45325	1475.30693	464.31903
GB-BV-080	26	0	763.87129	260.94939	629.25743	290.21672
GB-BV-080	26	1	848.37624	217.41144	698.03960	247.04180
GB-BV-080	27	0	1140.74257	578.90979	965.57426	608.59406
