"","opcode","fullspp","MaxN","longitude","latitude","depth","status","sd"
"155","CF3-3","Muraenidae Gymnothorax prasinus",1,114.9557442,-34.07025552,33,"No-Take","preferential"
"156","CF3-3","Pempherididae Pempheris klunzingeri",10,114.9557442,-34.07025552,33,"No-Take","preferential"
"157","CF3-4","Carangidae Pseudocaranx spp",8,114.9639244,-34.07080053,32,"No-Take","preferential"
"158","CF3-4","Dasyatidae Bathytoshia brevicaudata",1,114.9639244,-34.07080053,32,"No-Take","preferential"
"159","CF3-4","Gerreidae Parequula melbournensis",3,114.9639244,-34.07080053,32,"No-Take","preferential"
"160","CF3-4","Labridae Coris auricularis",22,114.9639244,-34.07080053,32,"No-Take","preferential"
"161","CF3-4","Labridae Eupetrichthys angustipes",1,114.9639244,-34.07080053,32,"No-Take","preferential"
"162","CF3-4","Labridae Ophthalmolepis lineolatus",1,114.9639244,-34.07080053,32,"No-Take","preferential"
"163","CF3-4","Labridae Pseudolabrus biserialis",1,114.9639244,-34.07080053,32,"No-Take","preferential"
"164","CF3-4","Myliobatidae Myliobatis tenuicaudatus",4,114.9639244,-34.07080053,32,"No-Take","preferential"
"165","CF3-4","Sparidae Chrysophrys auratus",1,114.9639244,-34.07080053,32,"No-Take","preferential"
"166","CF3-4","Triakidae Galeorhinus galeus",1,114.9639244,-34.07080053,32,"No-Take","preferential"
"167","CF3-4","Urolophidae Trygonoptera ovalis",2,114.9639244,-34.07080053,32,"No-Take","preferential"
"168","CF3-5","Caesioscorpididae Caesioscorpis theagenes",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"169","CF3-5","Dasyatidae Bathytoshia brevicaudata",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"170","CF3-5","Gerreidae Parequula melbournensis",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"171","CF3-5","Labridae Austrolabrus maculatus",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"172","CF3-5","Labridae Coris auricularis",2,114.9588213,-34.07358433,34,"No-Take","preferential"
"173","CF3-5","Labridae Eupetrichthys angustipes",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"174","CF3-5","Labridae Olisthops cyanomelas",2,114.9588213,-34.07358433,34,"No-Take","preferential"
"175","CF3-5","Labridae Ophthalmolepis lineolatus",6,114.9588213,-34.07358433,34,"No-Take","preferential"
"176","CF3-5","Labridae Pictilabrus laticlavius",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"177","CF3-5","Labridae Pseudolabrus biserialis",6,114.9588213,-34.07358433,34,"No-Take","preferential"
"178","CF3-5","Monacanthidae Meuschenia galii",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"179","CF3-5","Monacanthidae Meuschenia venusta",1,114.9588213,-34.07358433,34,"No-Take","preferential"
"180","CF3-5","Mullidae Upeneichthys vlamingii",1,114.9588213,-34.07358433,34,"No-Take","preferential"
