campaignid,sample,latitude,longitude,date,time,location,site,depth,observer,successful.count,successful.length,raw.hdd.number,con.hdd.number,commonwealth.zone,state.zone,status
2014-12_Geographe.Bay_stereoBRUVs,34,-33.3845,115.0739,10/12/2014,7:05:00,Geographe Bay,Geographe Bay,43,Curtin,Yes,No,NA,2L,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,35,-33.4055,115.4157,13/12/2014,11:14:00,Geographe Bay,Geographe Bay,27.9,Logan,Yes,Yes,NA,5,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,36,-33.4269,115.2077,10/12/2014,11:17:00,Geographe Bay,Geographe Bay,38.2,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,37,-33.3585,115.3721,11/12/2014,9:11:00,Geographe Bay,Geographe Bay,30.3,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,38,-33.5037,115.1274,9/12/2014,12:45:00,Geographe Bay,Geographe Bay,34.5,Hayley,Yes,Yes,NA,1,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,39,-33.465,115.4329,11/12/2014,13:20:00,Geographe Bay,Geographe Bay,19.8,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,40,-33.472,115.2287,9/12/2014,9:57:00,Geographe Bay,Geographe Bay,33.7,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,41,-33.3679,115.0986,10/12/2014,7:35:00,Geographe Bay,Geographe Bay,42.5,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,42,-33.5425,115.3862,12/12/2014,13:13:00,Geographe Bay,Geographe Bay,13,Logan,Yes,No,NA,4,National Park Zone,NA,No-take
2014-12_Geographe.Bay_stereoBRUVs,44,-33.3984,115.3097,11/12/2014,6:54:00,Geographe Bay,Geographe Bay,34.4,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,45,-33.4446,115.1317,9/12/2014,13:28:00,Geographe Bay,Geographe Bay,41.1,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,47,-33.5485,115.2878,12/12/2014,10:29:00,Geographe Bay,Geographe Bay,24.3,Hayley,Yes,Yes,NA,3,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,48,-33.4028,115.5134,11/12/2014,12:31:00,Geographe Bay,Geographe Bay,17.2,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,49,-33.3809,115.2721,10/12/2014,13:51:00,Geographe Bay,Geographe Bay,37.7,Hayley,Yes,Yes,NA,2,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,50,-33.4108,115.1742,10/12/2014,10:29:00,Geographe Bay,Geographe Bay,40.5,Curtin,Yes,No,NA,2L,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,51,-33.4316,115.4137,13/12/2014,10:52:00,Geographe Bay,Geographe Bay,25.4,NA,Yes,No,NA,NA,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,52,-33.4927,115.2982,9/12/2014,6:14:00,Geographe Bay,Geographe Bay,29.7,Curtin,Yes,No,NA,1 Left only,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,53,-33.3582,115.3565,11/12/2014,9:04:00,Geographe Bay,Geographe Bay,31.4,Hayley,Yes,Yes,NA,1,Special Purpose Zone (Mining Exclusion),NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,54,-33.5131,115.1532,9/12/2014,10:47:00,Geographe Bay,Geographe Bay,33.1,Hayley,Yes,Yes,NA,1,Multiple Use Zone,NA,Fished
2014-12_Geographe.Bay_stereoBRUVs,55,-33.5709,115.2801,12/12/2014,9:05:00,Geographe Bay,Geographe Bay,22.2,Hayley,Yes,No,NA,2,Multiple Use Zone,NA,Fished
