OpCode	x.2.x	x.3.x	Relief0	Relief1	Relief2	Relief3	Relief4	x.2.y	x.3.y	fieldofview.Limited	fieldofview.Open	x.2	x.3	Consolidated	Macroalgae	Seagrasses	Stony.corals	Unconsolidated
112	NA	NA	0	0	11	0	0	NA	NA	0	20	NA	NA	0	3	8	0	0
113	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
114	NA	NA	0	10	0	0	0	NA	NA	2	18	NA	NA	0	0	0	0	10
115	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
116	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
119	NA	NA	0	0	0	13	0	NA	NA	0	20	NA	NA	0	0	13	0	0
122	NA	NA	0	3	6	0	0	NA	NA	0	20	NA	NA	0	0	6	0	3
135	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	2	8	0	0
138	NA	NA	0	0	10	0	0	NA	NA	3	17	NA	NA	0	0	10	0	0
139	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
143	NA	NA	0	0	0	9	0	NA	NA	0	20	NA	NA	0	9	0	0	0
144	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	0
151	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
154	NA	NA	0	0	8	0	0	NA	NA	0	19	NA	NA	0	0	8	0	0
160	NA	NA	0	0	11	0	0	NA	NA	0	20	NA	NA	0	0	11	0	0
167	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
170	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
175	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
176	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
183	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	4	0	6
192	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	10	0	0	0
196	NA	NA	0	2	9	0	0	NA	NA	3	17	NA	NA	0	1	8	0	2
199	NA	NA	0	0	9	1	0	NA	NA	0	20	NA	NA	0	6	3	1	0
202	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
207	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
208	NA	NA	0	0	10	0	0	NA	NA	0	18	NA	NA	0	0	10	0	0
215	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
218	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
224	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	0	8	0	0
234	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
236	NA	NA	0	0	12	0	0	NA	NA	0	20	NA	NA	0	2	7	0	3
240	NA	NA	0	5	10	0	0	NA	NA	0	20	NA	NA	0	6	4	0	5
247	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
250	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
256	NA	NA	0	2	3	0	0	NA	NA	0	20	NA	NA	0	0	3	0	2
267	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
270	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
271	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	10	0	0	0
272	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	0	7	0	0
279	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	2	8	0	0
282	NA	NA	0	0	6	0	0	NA	NA	0	20	NA	NA	0	2	3	0	1
287	NA	NA	0	1	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	1
288	NA	NA	0	1	9	0	0	NA	NA	0	20	NA	NA	0	6	3	0	1
295	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
298	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
304	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
314	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	0
316	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	3	7	0	0
320	NA	NA	0	4	6	0	0	NA	NA	1	19	NA	NA	0	0	6	0	4
327	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	0	4	0	4
330	NA	NA	0	0	5	3	0	NA	NA	0	20	NA	NA	0	5	0	3	0
331	NA	NA	0	1	8	0	0	NA	NA	1	18	NA	NA	0	0	8	0	1
335	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	6	0	4
346	NA	NA	0	0	6	0	0	NA	NA	0	20	NA	NA	0	0	6	0	0
352	NA	NA	0	3	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	3
362	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
368	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	5	0	0	0
375	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
378	NA	NA	0	1	6	0	0	NA	NA	0	20	NA	NA	0	0	6	0	1
384	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	6	4	0	0
391	NA	NA	0	2	8	0	0	NA	NA	0	20	NA	NA	0	0	8	0	2
394	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
395	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
399	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
400	NA	NA	0	4	6	0	0	NA	NA	0	20	NA	NA	0	0	6	0	4
407	NA	NA	0	1	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	1
