OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
CF3-2	1	0	0.00000	1	CF3-2_R1_GX020017_2.MP4	25057	59.94006
CF3-3	0	0	0.00000	1	CF3-3_L2_GX010017_1.MP4	207360	59.94018
CF3-3	0	0	0.00000	1	CF3-3_L2_GX020017_2.MP4	71817	59.94018
CF3-3	1	0	0.00000	1	CF3-3_R2_GX010013_1.MP4	218880	59.94006
CF3-3	1	0	0.00000	1	CF3-3_R2_GX020013_2.MP4	56479	59.94006
CF3-4	0	0	0.00000	1	CF3-4_L9_GX010017.MP4	258879	59.94018
CF3-4	1	0	0.00000	1	CF3-4_R9_GX010014.MP4	260437	59.94018
CF3-5	0	0	0.00000	1	CF3-5_L4_GX010018.MP4	255408	59.94018
CF3-5	1	0	0.00000	1	CF3-5_R4_GX010017.MP4	257673	59.94006
CF4-1	0	0	0.00000	1	CF4-1_L3_GX010013.MP4	275772	59.94018
CF4-1	1	0	0.00000	1	CF4-1_R3_GX010014.MP4	277682	59.94006
CF4-2	0	0	0.00000	1	CF4-2_L1_GX010017_1.MP4	280321	59.94018
CF4-2	0	0	0.00000	1	CF4-2_L1_GX020017_2.MP4	1320	59.94018
CF4-2	1	0	0.00000	1	CF4-2_R1_GX010016_1.MP4	226560	59.94018
CF4-2	1	0	0.00000	1	CF4-2_R1_GX020016_2.MP4	56556	59.94018
CF4-3	0	0	0.00000	1	CF4-3_L7_GX010010.MP4	284827	59.94018
CF4-3	1	0	0.00000	1	CF4-3_R7_GX010013.MP4	287193	59.94006
CF4-4	0	0	0.00000	1	CF4-4_L10__GX010017_1.MP4	291841	59.94018
CF4-4	0	0	0.00000	1	CF4-4_L10__GX020017_2.MP4	2279	59.94018
CF4-4	1	0	0.00000	1	CF4-4_R10__GX010014_1.MP4	291840	59.94006
CF4-4	1	0	0.00000	1	CF4-4_R10__GX020014_2.MP4	4216	59.94006
CF4-5	0	0	0.00000	1	CF4-5_L6_GX010020_1.MP4	199680	59.94018
CF4-5	0	0	0.00000	1	CF4-5_L6_GX020020_2.MP4	82510	59.94018
CF4-5	1	0	0.00000	1	CF4-5_R6_GX010028_1.MP4	192000	59.94006
CF4-5	1	0	0.00000	1	CF4-5_R6_GX020028_2.MP4	92407	59.94006
CF5-1	0	0	0.00000	1	CF5-1_L8_GX010013.MP4	268573	59.94018
