OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
CF1-3	3	0	615.76002	551.55263	702.42011	540.12500
CF1-3	3	1	545.58112	529.34868	640.53239	518.51316
CF1-3	4	0	1692.85626	486.24342	1691.10426	465.86842
CF1-3	4	1	1826.69957	443.90789	1806.58853	418.20395
CF1-3	5	0	601.70265	491.44737	344.67613	478.42105
CF1-3	5	1	365.99630	441.71053	94.75632	429.86842
CF1-3	6	0	548.84577	601.92105	207.39112	584.79605
CF1-3	6	1	365.84762	607.84211	17.28624	588.64474
CF1-3	7	0	1369.94201	757.76974	1128.86181	741.53289
CF1-3	7	1	1189.01666	734.97368	970.14497	719.62500
CF1-3	8	0	628.11351	364.33553	429.54596	351.31579
CF1-3	8	1	780.31585	409.33553	579.97162	393.94737
CF1-3	9	0	916.71129	690.02632	867.31339	674.09868
CF1-3	9	1	982.15238	710.45395	926.83220	696.89474
CF1-3	10	0	580.79581	588.84211	52.70820	569.52632
CF1-3	10	1	798.43924	565.75000	328.38988	550.57895
CF1-3	11	0	633.74090	645.35526	409.25540	632.04605
CF1-3	11	1	790.08883	580.51974	584.85071	568.69079
CF1-3	12	0	163.45466	378.26316	10.95620	373.56579
CF1-3	12	1	272.72054	394.54605	157.23627	388.66447
CF1-3	13	0	1134.13880	412.13816	904.39482	394.35526
CF1-3	13	1	962.98519	451.21711	735.01789	434.02632
CF1-3	14	0	851.62246	879.86842	497.47070	862.10526
CF1-3	14	1	254.65762	877.50000	55.07711	851.44737
CF1-3	15	0	297.53856	568.21053	230.27514	549.28947
CF1-3	15	1	606.68106	644.88816	514.92104	621.53289
CF1-3	16	0	603.95435	870.09868	377.38063	830.72368
CF1-3	16	1	487.58174	995.32895	208.29981	958.02632
CF1-3	17	0	393.13819	818.26316	171.74584	790.82895
CF1-3	17	1	605.59531	623.06579	411.00555	612.23684
CF1-3	18	0	761.52684	599.52632	616.84701	580.19079
CF1-3	18	1	468.65824	541.38158	317.98890	526.86842
CF1-3	19	0	1468.85133	510.92763	1648.21098	493.28947
CF1-3	19	1	1626.56076	471.13816	1892.46144	440.82237
CF1-3	20	0	1139.44479	903.55263	1045.87292	889.34211
CF1-3	20	1	835.04010	730.65789	799.50648	716.44737
CF1-3	21	0	694.90068	741.59868	497.58976	724.84868
CF1-3	21	1	796.76373	747.81579	581.38988	731.06579
CF1-3	22	0	671.92474	1026.41447	159.68846	1010.72368
CF1-3	22	1	770.53054	1003.32237	318.40531	980.23026
CF1-3	23	0	690.58976	827.13816	450.64343	798.61842
CF1-3	23	1	749.51635	830.39474	509.57002	801.87500
CF1-3	24	0	666.95867	588.17105	732.81308	572.21053
CF1-3	24	1	376.35719	552.12500	485.95805	539.06579
CF1-3	25	0	1109.14312	699.10526	1106.76866	685.53289
CF1-3	25	1	835.67798	698.17763	851.81493	696.19079
CF1-3	26	0	564.98458	881.05263	339.93831	859.73684
CF1-3	26	1	465.49044	554.21053	442.98581	542.36842
CF1-3	27	0	1006.86675	328.59211	1004.79889	322.51974
CF1-3	27	1	927.50833	273.23026	926.32881	265.97368
CF1-3	28	0	1770.75879	5.92105	464.30598	10.65789
CF1-3	29	0	1683.10919	161.05263	1653.49784	104.21053
CF1-3	29	1	1893.94201	104.21053	1889.20419	26.05263
CF1-3	30	0	552.47378	764.07237	350.68229	745.54605
CF1-3	30	1	677.72980	758.15132	478.60333	732.81579
CF1-3	31	0	1163.07094	790.82237	942.27822	771.23026
CF1-3	31	1	1218.74028	814.80263	1005.05429	794.02632
CF1-3	32	0	454.27576	315.34211	596.88649	326.94079
CF1-3	32	1	344.31771	279.63816	513.97471	301.18421
CF1-3	33	0	469.39667	320.24342	608.10364	331.42105
CF1-3	33	1	362.20358	285.01316	526.08020	303.00000
CF1-3	34	0	1178.79827	366.50000	1131.19618	351.09868
CF1-3	34	1	1069.53239	309.36184	1021.04195	293.36842
CF1-3	35	0	773.39112	555.10526	638.77853	539.07895
CF1-3	35	1	673.89698	564.87500	542.24553	546.48026
CF1-3	36	0	634.31277	25.46053	609.23566	38.78289
CF1-3	36	1	745.35534	67.50000	719.38988	68.68421
CF1-3	37	0	1202.92104	609.64474	1164.34670	602.55263
CF1-3	37	1	1123.26650	557.83553	1096.53671	549.26316
CF1-3	38	0	1254.07465	517.25000	1174.96360	501.07237
CF1-3	38	1	1174.12400	524.35526	1103.89636	506.69737
CF1-3	39	0	956.71622	375.42763	966.00432	365.78947
CF1-3	39	1	1032.81740	367.13816	1045.95497	352.46711
CF1-3	40	0	1348.11845	461.54605	1387.71561	443.33553
CF1-3	40	1	1204.50339	445.85526	1233.14436	426.16447
CF1-3	41	0	954.55645	338.69737	975.69710	326.60526
CF1-3	41	1	865.42628	348.17105	893.08143	338.44737
CF1-3	42	0	334.81308	52.99342	463.17212	97.69737
CF1-3	42	1	261.67304	26.64474	409.57557	79.93421
CF1-3	43	0	1266.99260	614.74342	1104.13942	612.43421
CF1-3	43	1	1106.79519	541.32237	992.50463	529.53947
CF1-3	44	0	1458.70019	520.44737	1513.23998	498.05263
CF1-3	44	1	1374.60395	561.30263	1408.41579	542.16447
CF1-3	45	0	739.70142	424.98026	680.02283	424.55263
CF1-3	45	1	663.60025	366.95395	620.20790	364.75000
CF1-3	46	0	937.84269	361.92105	771.52745	343.34868
CF1-3	46	1	872.40160	359.84868	711.12030	344.53289
CF1-3	47	0	583.78470	188.21711	463.46391	197.07237
CF1-3	47	1	521.30475	118.94079	417.86243	128.68421
CF1-3	48	0	965.92967	430.14474	789.23504	418.19079
CF1-3	48	1	904.63418	407.94079	729.42011	392.43421
CF1-3	49	0	778.74522	553.00658	595.82357	550.00000
CF1-3	49	1	844.18630	477.80921	644.97841	470.95395
CF1-3	50	0	933.87600	600.13816	815.84269	587.17105
CF1-3	50	1	869.32326	592.14474	749.51326	576.21711
CF1-3	51	0	1203.17335	871.36842	203.43492	842.78289
CF1-3	51	1	1528.30598	1011.10526	568.08020	946.10526
CF1-3	52	0	1438.21098	865.06579	1074.91919	841.02632
CF1-3	52	1	1273.27576	764.11184	887.18322	745.10526
CF1-3	53	0	982.66317	404.45395	774.93954	384.83553
CF1-3	53	1	1143.74892	421.62500	918.55460	402.00658
CF1-3	54	0	1228.02159	240.18421	1164.27514	221.81579
CF1-3	54	1	1484.95867	135.59211	1421.94448	101.54605
CF1-4	0	0	1540.95941	632.65574	497.12177	606.68852
CF1-4	1	0	1461.02583	555.44262	1493.29889	538.06557
CF1-4	1	1	1530.98893	554.55738	1568.57565	535.40984
CF1-4	2	0	186.56827	249.04918	28.33948	295.08197
CF1-4	2	1	459.33579	336.39344	366.05166	377.70492
CF1-4	3	0	1276.85609	529.50820	1382.87454	527.93443
CF1-4	3	1	1392.57565	540.72131	1517.78229	538.85246
CF1-4	4	0	396.90037	682.04918	316.31734	697.98361
CF1-4	4	1	280.00000	757.00000	160.15498	781.19672
CF1-4	5	0	1200.78229	528.81967	1143.58303	535.14754
CF1-4	5	1	1307.35055	575.44262	1245.42804	582.36066
