OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
CNB1-4	Nidhi	27		Date	14/02/2024	Time	9:41:36	Location	Ngari Capes	Site	CNB1	Status	Fished	Latitude	-33.5174244	Longitude	115.0231664	Visibility	
CNB1-5	Nidhi Menon	19		Date	14/02/2024	Time	10:01:27	Location	Ngari Capes	Site	CNB1	Status	Fished	Latitude	-33.52145085	Longitude	115.0262758	Visibility	
CNB2-1	Nidhi	16		Date	14/02/2024	Time	10:15:03	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.5200519	Longitude	115.017059	Visibility	
CNB2-2	Nidhi	29		Date	14/02/2024	Time	10:28:12	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.51525638	Longitude	115.0163244	Visibility	
CNB2-3	Nidhi	33		Date	14/02/2024	Time	10:33:34	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.51857495	Longitude	115.0152655	Visibility	
CNB2-4	Nidhi	23		Date	14/02/2024	Time	10:45:50	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.51837692	Longitude	115.0180961	Visibility	
CNB2-5	Nidhi	26		Date	14/02/2024	Time	10:49:30	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.5171097	Longitude	115.0166196	Visibility	
CNB3-1	Belle Mullins	32		Date	14/02/2024	Time	12:48:42	Location	Ngari Capes	Site	CNB2	Status	Fished	Latitude	-33.5182261166667	Longitude	115.00645605	Visibility	
CNB3-2	Nidhi	29		Date	14/02/2024	Time	12:53:44	Location	Ngari Capes	Site	CNB3	Status	No-take	Latitude	-33.52057265	Longitude	115.0054445	Visibility	
CNB3-3	Nidhi	27		Date	14/02/2024	Time	12:58:04	Location	Ngari Capes	Site	CNB3	Status	No-take	Latitude	-33.52235223	Longitude	115.0068621	Visibility	
CNB3-4	Nidhi	22		Date	14/02/2024	Time	13:02:20	Location	Ngari Capes	Site	CNB3	Status	No-take	Latitude	-33.52224195	Longitude	115.0100438	Visibility	
CNB3-5	Nidhi Menon	27		Date	14/02/2024	Time	13:05:57	Location	Ngari Capes	Site	CNB3	Status	No-take	Latitude	-33.52008323	Longitude	115.0085451	Visibility	
CNB4-1	Nidhi Menon	25		Date	14/02/2024	Time	13:11:26	Location	Ngari Capes	Site	CNB4	Status	No-take	Latitude	-33.52201972	Longitude	114.9986951	Visibility	
CNB4-2	Nidhi Menon	35		Date	14/02/2024	Time	13:15:12	Location	Ngari Capes	Site	CNB4	Status	No-take	Latitude	-33.52319437	Longitude	114.9953871	Visibility	
CNB4-3	Nidhi Menon	36		Date	14/02/2024	Time	13:18:49	Location	Ngari Capes	Site	CNB4	Status	No-take	Latitude	-33.52148235	Longitude	114.9931857	Visibility	
CNB4-4	Nidhi Menon	30		Date	14/02/2024	Time	13:24:19	Location	Ngari Capes	Site	CNB4	Status	No-take	Latitude	-33.52426822	Longitude	114.99771	Visibility	
CNB4-5	Nidhi Menon	42		Date	14/02/2024	Time	13:27:51	Location	Ngari Capes	Site	CNB4	Status	No-take	Latitude	-33.5207773	Longitude	114.9957992	Visibility	
CNB5-1	Nidhi Menon	27		Date	15/02/2024	Time	15:07:36	Location	Ngari Capes	Site	CNB5	Status	No-take	Latitude	-33.53460847	Longitude	114.9963092	Visibility	
CNB5-2	Nidhi Menon	31		Date	15/02/2024	Time	15:11:05	Location	Ngari Capes	Site	CNB5	Status	No-take	Latitude	-33.53511485	Longitude	114.9934529	Visibility	
CNB5-3	Nidhi Menon	27		Date	15/02/2024	Time	15:13:52	Location	Ngari Capes	Site	CNB5	Status	No-take	Latitude	-33.53687935	Longitude	114.9963208	Visibility	
CNB5-4		19		Date	15/02/2024	Time	15:17:33	Location	Ngari Capes	Site	CNB5	Status	No-take	Latitude	-33.53526435	Longitude	114.9989022	Visibility	
CNB5-5	Nidhi Menon	23		Date	15/02/2024	Time	15:20:52	Location	Ngari Capes	Site	CNB5	Status	No-take	Latitude	-33.53232937	Longitude	114.9967849	Visibility	
CNB6-1	Nidhi Menon	25		Date	17/02/2024	Time	10:06:37	Location	Ngari Capes	Site	CNB6	Status	Fished	Latitude	-33.54810528	Longitude	114.9986138	Visibility	
CNB6-2	Nidhi Menon	25		Date	17/02/2024	Time	7:47:49	Location	Ngari Capes	Site	CNB6	Status	Fished	Latitude	-33.54598377	Longitude	114.9982838	Visibility	
CNB6-3	Nidhi Menon	28		Date	17/02/2024	Time	7:51:09	Location	Ngari Capes	Site	CNB6	Status	Fished	Latitude	-33.54518875	Longitude	114.995907	Visibility	
CNB6-4	Nidhi Menon	21		Date	17/02/2024	Time	7:55:19	Location	Ngari Capes	Site	CNB6	Status	Fished	Latitude	-33.54530572	Longitude	115.0005619	Visibility	
CNB6-5	Nidhi Menon	25		Date	17/02/2024	Time	7:58:04	Location	Ngari Capes	Site	CNB6	Status	Fished	Latitude	-33.54355242	Longitude	114.9983536	Visibility	
CNB7-1	Nidhi Menon	28		Date	17/02/2024	Time	8:03:46	Location	Ngari Capes	Site	CNB7	Status	Fished	Latitude	-33.55392427	Longitude	114.9992392	Visibility	
CNB7-2	Belle Mullins	33		Date	17/02/2024	Time	8:06:44	Location	Ngari Capes	Site	CNB7	Status	Fished	Latitude	-33.55479127	Longitude	114.9971649	Visibility	
CNB7-3	Belle Mullins	27		Date	17/02/2024	Time	9:56:15	Location	Ngari Capes	Site	CNB7	Status	Fished	Latitude	-33.55610037	Longitude	114.9994381	Visibility	
CNB7-4	Belle Mullins	42		Date	17/02/2024	Time	9:49:37	Location	Ngari Capes	Site	CNB7	Status	Fished	Latitude	-33.55370123	Longitude	115.0014536	Visibility	
CNB7-5	Belle Mullins	28		Date	17/02/2024	Time	8:16:58	Location	Ngari Capes	Site	CNB7	Status	Fished	Latitude	-33.55231843	Longitude	114.9987839	Visibility	
EBG1-4		10		Date	16/02/2024	Time	14:05:14	Location	Ngari Capes	Site	EGB1	Status	Fished	Latitude	-33.54151265	Longitude	115.4446409	Visibility	
EBG2-3		11		Date	16/02/2024	Time	14:11:57	Location	Ngari Capes	Site	EGB2	Status	Fished	Latitude	-33.55159487	Longitude	115.4299389	Visibility	
EBG3-3		10		Date	16/02/2024	Time	14:17:27	Location	Ngari Capes	Site	EGB3	Status	No-take	Latitude	-33.56156818	Longitude	115.4222232	Visibility	
EGB1-1	Nidhi Menon	10		Date	16/02/2024	Time	14:02:11	Location	Ngari Capes	Site	EGB1	Status	Fished	Latitude	-33.54532067	Longitude	115.44187	Visibility	
EGB1-2	Nidhi Menon	10		Date	16/02/2024	Time	7:51:22	Location	Ngari Capes	Site	EGB1	Status	Fished	Latitude	-33.54291277	Longitude	115.442853	Visibility	
EGB1-3	Nidhi Menon	10		Date	16/02/2024	Time	7:54:24	Location	Ngari Capes	Site	EGB1	Status	Fished	Latitude	-33.5402568	Longitude	115.4418686	Visibility	
EGB1-4	Nidhi Menon	10		Date	16/02/2024	Time	07:57:53	Location	Ngari Capes	Site	EGB1	Status	Fished	Latitude	-33.54160948	Longitude	115.4447551	Visibility	
