OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
EGB7-5	1.09	2024 08 13 11:06:07	F:\20240223\	EGB7-5.EMObs
INB1-1	1.09	2024 08 13 11:06:07	F:\20240223\	INB1-1.EMObs
INB1-2	1.09	2024 08 13 11:06:07	D:\20240223\	INB1-2.EMObs
INB1-3	1.09	2024 08 13 11:06:07	G:\20240223\	INB1-3.EMObs
INB1-4	1.09	2024 08 13 11:06:07	G:\20240223\	INB1-4.EMObs
INB1-5	1.09	2024 08 13 11:06:07	F:\20240223\	INB1-5.EMObs
INB2-1	1.09	2024 08 13 11:06:07	D:\20240223\	INB2-1.EMObs
INB2-2	1.09	2024 08 13 11:06:07	D:\20240223\	INB2-2.EMObs
INB2-3	1.09	2024 08 13 11:06:07	D:\20240223\	INB2-3.EMObs
INB2-4	1.09	2024 08 13 11:06:07	E:\20240223\	INB2-4.EMObs
INB2-5	1.09	2024 08 13 11:06:07	D:\20240223\	INB2-5.EMObs
INB3-1	1.09	2024 08 13 11:06:07	F:\20240223\	INB3-1.EMObs
INB3-2	1.09	2024 08 13 11:06:07	E:\20240223\	INB3-2.EMObs
INB3-3	1.09	2024 08 13 11:06:07	D:\20240223\	INB3-3.EMObs
INB3-4	1.09	2024 08 13 11:06:07	F:\20240223\	INB3-4.EMObs
INB3-5	1.09	2024 08 13 11:06:07	F:\20240223\	INB3-5.EMObs
INB4-1	1.09	2024 08 13 11:06:07	E:\20240223\	INB4-1.EMObs
INB4-2	1.09	2024 08 13 11:06:07	D:\20240223\	INB4-2.EMObs
INB4-3	1.09	2024 08 13 11:06:07	F:\20240223\	INB4-3.EMObs
INB4-4	1.09	2024 08 13 11:06:07	F:\20240223\	INB4-4.EMObs
INB4-5	1.09	2024 08 13 11:06:07	D:\20240223\	INB4-5.EMObs
INB5-1	1.09	2024 08 13 11:06:07	F:\20240223\	INB5-1.EMObs
INB5-2	1.09	2024 08 13 11:06:07	F:\20240223\	INB5-2.EMObs
INB5-3	1.09	2024 08 13 11:06:07	F:\20240223\	INB5-3.EMObs
INB5-4	1.09	2024 08 13 11:06:07	G:\20240223\	INB5-4.EMObs
INB5-5	1.09	2024 08 13 11:06:07	F:\20240223\	INB5-5.EMObs
INB6-1	1.09	2024 08 13 11:06:07	F:\20240223\	INB6-1.EMObs
INB6-2	1.09	2024 08 13 11:06:07	F:\20240223\	INB6-2.EMObs
INB6-3	1.09	2024 08 13 11:06:07	D:\20240223\	INB6-3.EMObs
INB6-4	1.09	2024 08 13 11:06:07	F:\20240223\	INB6-4.EMObs
INB6-5	1.09	2024 08 13 11:06:07	F:\20240223\	INB6-5.EMObs
INB7-1	1.09	2024 08 13 11:06:07	F:\20240223\	INB7-1.EMObs
INB7-2	1.09	2024 08 13 11:06:07	D:\20240223\	INB7-2.EMObs
INB7-3	1.09	2024 08 13 11:06:07	F:\20240223\	INB7-3.EMObs
INB7-4	1.09	2024 08 13 11:06:07	F:\20240223\	INB7-4.EMObs
INB7-5	1.09	2024 08 13 11:06:07	F:\20240223\	INB7-5.EMObs
