opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,visibility_m,observer_habitat_forward,successful_habitat_forward,dbca_zone,dbca_sanctuary,campaign_id
INB7-1,-33.72044987,114.9672964,2024-02-15T12:57:07+8:00,INB7,Ngari Capes,Fished,31,Yes,Yes,NM,BM,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB7-2,-33.72330925,114.973884,2024-02-15T13:01:25+8:00,INB7,Ngari Capes,Fished,22,Yes,Yes,NM,BM,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB7-3,-33.72056572,114.9710789,2024-02-15T13:04:29+8:00,INB7,Ngari Capes,Fished,26,Yes,Yes,NM,BM,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB7-4,-33.72257443,114.9706075,2024-02-15T13:07:03+8:00,INB7,Ngari Capes,Fished,27,Yes,Yes,NM,BM,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
INB7-5,-33.71833682,114.9702059,2024-02-15T13:10:03+8:00,INB7,Ngari Capes,Fished,23,Yes,Yes,NM,BM,,NM,Yes,General Use,Injidup,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB5-1,-33.53460847,114.9963092,2024-02-15T15:07:36+8:00,CNB5,Ngari Capes,No-take,27,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB5-2,-33.53511485,114.9934529,2024-02-15T15:11:05+8:00,CNB5,Ngari Capes,No-take,31,Yes,Yes,NM,NM,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB5-3,-33.53687935,114.9963208,2024-02-15T15:13:52+8:00,CNB5,Ngari Capes,No-take,27,Yes,No,NM,,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB5-4,-33.53526435,114.9989022,2024-02-15T15:17:33+8:00,CNB5,Ngari Capes,No-take,19,No,No,,,,,,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
CNB5-5,-33.53232937,114.9967849,2024-02-15T15:20:52+8:00,CNB5,Ngari Capes,No-take,23,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,Cape Naturaliste,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB1-1,-33.5453025,115.4418886,2024-02-16T07:48:36+8:00,EGB1,Ngari Capes,Fished,10,No,No,,,,,,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB1-2,-33.54291277,115.442853,2024-02-16T07:51:22+8:00,EGB1,Ngari Capes,Fished,10,Yes,Yes,NM,BM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB1-3,-33.5402568,115.4418686,2024-02-16T07:54:24+8:00,EGB1,Ngari Capes,Fished,10,Yes,Yes,NM,BM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB1-4,-33.54160948,115.4447551,2024-02-16T07:57:53+8:00,EGB1,Ngari Capes,Fished,10,No,No,,,,,,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB1-5,-33.544133,115.4385019,2024-02-16T08:01:28+8:00,EGB1,Ngari Capes,Fished,10,Yes,Yes,NM,BM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB2-1,-33.55358215,115.4320331,2024-02-16T08:06:52+8:00,EGB2,Ngari Capes,Fished,10,Yes,Yes,NM,BM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB2-2,-33.55264123,115.4356611,2024-02-16T08:09:46+8:00,EGB2,Ngari Capes,Fished,10,Yes,Yes,NM,BM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB2-3,-33.55161108,115.4298323,2024-02-16T08:13:19+8:00,EGB2,Ngari Capes,Fished,11,No,No,,,,,,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB2-4,-33.5499871,115.4366481,2024-02-16T08:17:44+8:00,EGB2,Ngari Capes,Fished,10,Yes,Yes,NM,BM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB2-5,-33.54825213,115.4334449,2024-02-16T08:20:38+8:00,EGB2,Ngari Capes,Fished,11,Yes,Yes,NM,BM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB3-1,-33.56581203,115.4207646,2024-02-16T09:36:30+8:00,EGB3,Ngari Capes,No-take,10,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB3-2,-33.56324325,115.4204045,2024-02-16T09:39:29+8:00,EGB3,Ngari Capes,No-take,10,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB3-3,-33.56150228,115.4220941,2024-02-16T09:41:45+8:00,EGB3,Ngari Capes,No-take,10,No,No,,,,,,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB3-4,-33.5630559,115.4258155,2024-02-16T09:44:11+8:00,EGB3,Ngari Capes,No-take,10,No,No,,,,,,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB3-5,-33.56512448,115.425212,2024-02-16T09:46:30+8:00,EGB3,Ngari Capes,No-take,9,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB5-1,-33.57793092,115.4119695,2024-02-16T09:53:03+8:00,EGB5,Ngari Capes,No-take,10,No,No,,,,,,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB5-2,-33.57556252,115.4119314,2024-02-16T09:55:34+8:00,EGB5,Ngari Capes,No-take,10,No,No,,,,,,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB5-3,-33.57811143,115.4150233,2024-02-16T09:58:02+8:00,EGB5,Ngari Capes,No-take,10,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB5-4,-33.577856,115.409046,2024-02-16T10:01:07+8:00,EGB5,Ngari Capes,No-take,10,Yes,Yes,NM,BM,,NM,Yes,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB5-5,-33.5802932,115.4119596,2024-02-16T10:03:36+8:00,EGB5,Ngari Capes,No-take,9,Yes,Yes,NM,NM,,NM,Yes,Sanctuary,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB6-1,-33.59721683,115.396083,2024-02-16T11:34:29+8:00,EGB6,Ngari Capes,Fished,10,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB6-2,-33.60053695,115.3964731,2024-02-16T11:36:52+8:00,EGB6,Ngari Capes,Fished,9,Yes,No,NM,,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
EGB6-3,-33.60189265,115.3921409,2024-02-16T11:40:47+8:00,EGB6,Ngari Capes,Fished,9,Yes,Yes,NM,NM,,NM,Yes,General Use,East Geographe Bay,2024-02_NgariCapes.MP.Monitoring_stereoBRUVs
