OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
CL2-3	0	60	CL2-3_L4_GX010019_1.MP4	12045	3.34917	CL2-3_L4_GX010019_1.MP4	227830	63.34927	1
CL2-4	0	60	CL2-4_L2_GX010018_1.MP4	11965	3.32693	CL2-4_L2_GX020018_2.MP4	16550	63.32715	1
CL2-5	0	60	CL2-5_L8_GX010015_1.MP4	17956	4.99276	CL2-5_L8_GX020015_2.MP4	34061	64.99285	1
CL3-1	0	60	CL3-1_L9_GX010019.MP4	7684	2.13657	CL3-1_L9_GX010019.MP4	223469	62.13667	1
CL3-2	0	60	CL3-2_L2_GX010019_1.MP4	12048	3.35001	CL3-2_L2_GX020019_2.MP4	31993	63.35010	1
CL3-3	0	60	CL3-3_L4_GX010020_1.MP4	7464	2.07540	CL3-3_L4_GX020020_2.MP4	23569	62.07550	1
CL3-4	0	60	CL3-4_L1_GX010020.MP4	19574	5.44265	CL3-4_L1_GX010020.MP4	235359	65.44275	1
CL3-5	0	60	CL3-5_L8_GX010016.MP4	12182	3.38727	CL3-5_L8_GX010016.MP4	227967	63.38736	1
CL4-1	0	60	CL4-1_L10__GX010021_1.MP4	7074	1.96696	CL4-1_L10__GX020021_2.MP4	3979	61.96706	1
CL4-2	0	60	CL4-2_L3_GX010016_1.MP4	8327	2.31536	CL4-2_L3_GX020016_2.MP4	32112	62.31546	1
CL4-3	0	60	CL4-3_L6_GX010023_1.MP4	11891	3.30635	CL4-3_L6_GX010023_1.MP4	227676	63.30645	1
CL4-4	0	60	CL4-4_L7_GX010013_1.MP4	8561	2.38043	CL4-4_L7_GX020013_2.MP4	5466	62.38053	1
CL4-5	0	60	CL4-5_L5_GX010014_1.MP4	9485	2.63735	CL4-5_L5_GX020014_2.MP4	29430	62.63745	1
CL5-1	0	60	CL5-1_R9_GX010018_1.MP4	7738	2.15159	CL5-1_R9_GX020018_2.MP4	12323	62.15169	1
CL5-2	0	60	CL5-2_L6_GX010025.MP4	8822	2.45300	CL5-2_L6_GX010025.MP4	224607	62.45310	1
CL5-3	0	60	CL5-3_L1_GX010022.MP4	8098	2.25169	CL5-3_L1_GX010022.MP4	223883	62.25179	1
CL5-4	0	60	CL5-4_L3_GX010018.MP4	9552	2.65598	CL5-4_L3_GX010018.MP4	225337	62.65608	1
CL5-5	0	60	CL5-5_L2_GX010021_1.MP4	10890	3.02802	CL5-5_L2_GX020021_2.MP4	30835	63.02812	1
CL6-1	0	60	CL6-1_L9_GX010020_1.MP4	6804	1.89189	CL6-1_L9_GX020020_2.MP4	30589	61.89198	1
CL6-2	0	60	CL6-2_L1_GX010021_1.MP4	4521	1.25709	CL6-2_L1_GX020021_2.MP4	28306	61.25718	1
CL6-3	0	60	CL6-3_L6_GX010024_1.MP4	7044	1.95862	CL6-3_L6_GX020024_2.MP4	23149	61.95872	1
CL6-4	0	60	CL6-4_R8_GX010012_1.MP4	10309	2.86647	CL6-4_R8_GX020012_2.MP4	3374	62.86657	1
CL6-5	0	60	CL6-5_L2_GX010020_1.MP4	12814	3.56300	CL6-5_L2_GX020020_2.MP4	28919	63.56309	1
CL7-1	0	60	CL7-1_L4_GX010021.MP4	14701	4.08769	CL7-1_L4_GX010021.MP4	230554	64.10669	1
CL7-2	0	60	CL7-2_L3_GX010017.MP4	10431	2.90039	CL7-2_L3_GX010017.MP4	226216	62.90049	1
CL7-3	0	60	CL7-3_L7_GX010014.MP4	16713	4.64713	CL7-3_L7_GX010014.MP4	232498	64.64723	1
CL7-4	0	60	CL7-4_L5_GX010015_1.MP4	13989	3.88971	CL7-4_L5_GX020015_2.MP4	14734	63.88981	1
CNB1-1	0	P3	CNB1-1_L10__GX010005_1.MP4	14237	3.95867	CNB1-1_L10__GX010005_1.MP4	230316	64.04052	1
CNB1-2	0	P79	CNB1-2_L2_GX010004_1.MP4	7486	2.08152	CNB1-2_L2_GX010004_1.MP4	223374	62.11026	1
CNB1-3	0	P4	CNB1-3_L4_10002_1.MP4	10245	2.84867	CNB1-3_L4_10002_1.MP4	226816	63.06732	1
CNB1-4	0	P5	CNB1-4_L5_GX010002_1.MP4	9522	2.64764	CNB1-4_L5_GX010002_1.MP4	225426	62.68083	1
CNB1-5	0	P80	CNB1-5_L8_GX010002_1.MP4	18208	5.06283	CNB1-5_L8_GX010002_1.MP4	234206	65.12215	1
CNB2-1	0	P6	CNB2-1_L7_GX010005_1.MP4	19963	5.55081	CNB2-1_L7_GX010005_1.MP4	234084	65.08823	1
CNB2-2	0	P7	CNB2-2_L6_GX010008.MP4	38717	10.76546	CNB2-2_L6_GX010008.MP4	254697	70.81977	1
CNB2-3	0	P8	CNB2-3_L9_GX010002_1.MP4	15497	4.30902	CNB2-3_L9_GX020002_2.MP4	35616	64.35750	1
CNB2-4	0	P9	CNB2-4_L3_GX010005_1.MP4	34694	9.64684	CNB2-4_L3_GX020005_2.MP4	18295	64.87996	1
CNB2-5	0	P10	CNB2-5_L1_GX010004.MP4	12412	3.45122	CNB2-5_L1_GX010004.MP4	228712	63.59452	1
CNB3-1	0	60	CNB3-1_L7_GX010006.MP4	13906	3.86664	CNB3-1_L7_GX010006.MP4	229691	63.86686	1
CNB3-2	0	P1	CNB3-2_L9_GX010003.MP4	7605	2.11461	CNB3-2_L9_GX010003.MP4	215807	60.00622	1
CNB3-3	0	P12	CNB3-3_L1_GX010005_1.MP4	8312	2.31119	CNB3-3_L1_GX020005_2.MP4	28382	62.34605	1
CNB3-4	0	P13	CNB3-4_L4_10003.MP4	11876	3.30218	CNB3-4_L4_10003.MP4	228632	63.57227	1
CNB3-5	0	P14	CNB3-5_L2_GX010005_1.MP4	9933	2.76192	CNB3-5_L2_GX020005_2.MP4	32240	63.41878	1
CNB4-1	0	P15	CNB4-1_L10__GX010006_1.MP4	14444	4.01623	CNB4-1_L10__GX020006_2.MP4	37253	64.81267	1
CNB4-2	0	P16	CNB4-2_L6_GX010009_1.MP4	9549	2.65515	CNB4-2_L6_GX010009_1.MP4	225758	62.77314	1
CNB4-3	0	P17	CNB4-3_L5_GX010003_1.MP4	8937	2.48498	CNB4-3_L5_GX020003_2.MP4	32847	62.51983	1
CNB4-4	0	P18	CNB4-4_L8_GX010003_1.MP4	10746	2.98798	CNB4-4_L8_GX010003_1.MP4	227089	63.14323	1
CNB4-5	0	P19	CNB4-5_L3_GX010006_1.MP4	10285	2.85980	CNB4-5_L3_GX010006_1.MP4	227978	63.39042	1
CNB5-1	0	P20	CNB5-1_L1_GX010009_1.MP4	14000	3.89277	CNB5-1_L1_GX020009_2.MP4	30357	63.96294	1
CNB5-2	0	P21	CNB5-2_L4_GX010007.MP4	5180	1.44032	CNB5-2_L4_GX010007.MP4	222548	61.88058	1
CNB5-3	0	P87	CNB5-3_L8_GX010007_1.MP4	6258	1.74007	CNB5-3_L8_GX020007_2.MP4	30139	61.76686	1
CNB5-5	0	P22	CNB5-5_L10__GX010010.MP4	6440	1.79067	CNB5-5_L10__GX010010.MP4	223356	62.10525	1
CNB6-1	0	P54	CNB6-1_L1_GX010014_1.MP4	14796	4.11410	CNB6-1_L1_GX020014_2.MP4	31065	64.15980	1
CNB6-2	0	P49	CNB6-2_L10__GX010015_1.MP4	5261	1.46285	CNB6-2_L10__GX020015_2.MP4	29250	61.51967	1
CNB6-3	0	P50	CNB6-3_L5_GX010009_1.MP4	5258	1.46201	CNB6-3_L5_GX020009_2.MP4	25410	61.51967	1
CNB6-4	0	P51	CNB6-4_L6_GX010018_1.MP4	8303	2.30869	CNB6-4_L6_GX020018_2.MP4	28350	62.33715	1
CNB6-5	0	P52	CNB6-5_L8_GX010010_1.MP4	5662	1.57435	CNB6-5_L8_GX010010_1.MP4	221653	61.63172	1
CNB7-1	0	P53	CNB7-1_L1_GX010013_1.MP4	15413	4.28566	CNB7-1_L1_GX020013_2.MP4	35503	64.32608	1
CNB7-2	0	60	CNB7-2_L4_GX010013_1.MP4	9339	2.59676	CNB7-2_L4_GX020013_2.MP4	25444	62.59685	1
CNB7-3	0	60	CNB7-3_L9_GX010012_1.MP4	4213	1.17145	CNB7-3_L9_GX020012_2.MP4	24158	61.17154	1
CNB7-4	0	60	CNB7-4_L4_GX010014_1.MP4	17012	4.73027	CNB7-4_L4_GX010014_1.MP4	232797	64.73037	1
CNB7-5	0	60	CNB7-5_L9_GX010011_1.MP4	8092	2.25002	CNB7-5_L9_GX020011_2.MP4	31877	62.25012	1
EGB1-1	0	P59	EGB1-1_L4_GX010011.MP4	4172	1.16005	EGB1-1_L4_GX010011.MP4	220073	61.19240	1
EGB1-2	0	P60	EGB1-2_L4_GX010008.MP4	7300	2.02980	EGB1-2_L4_GX010008.MP4	223232	62.07077	1
EGB1-3	0	P61	EGB1-3_L10__GX010011.MP4	4518	1.25625	EGB1-3_L10__GX010011.MP4	220412	61.28666	1
EGB1-4	0	P55	EGB1-4_L10_GX010014.MP4	3672	1.02102	EGB1-4_L10_GX010014.MP4	219583	61.05615	1
EGB1-5	0	P62	EGB1-5_L9_GX010008.MP4	6459	1.79596	EGB1-5_L9_GX010008.MP4	222311	61.81469	1
EGB2-1	0	P63	EGB2-1_L2_GX010010.MP4	7780	2.16327	EGB2-1_L2_GX010010.MP4	223824	62.23538	1
EGB2-2	0	P64	EGB2-2_L1_GX010010.MP4	5266	1.46424	EGB2-2_L1_GX010010.MP4	221171	61.49770	1
EGB2-3	0	P56	EGB2-3_L7_GX010007.MP4	16672	4.63573	EGB2-3_L7_GX010007.MP4	232524	64.65446	1
EGB2-4	0	P65	EGB2-4_L7_GX010004.MP4	10519	2.92486	EGB2-4_L7_GX010004.MP4	226598	63.00671	1
EGB2-5	0	P66	EGB2-5_L6_GX010014.MP4	7208	2.00422	EGB2-5_L6_GX010014.MP4	223220	62.06744	1
EGB3-1	0	P67	EGB3-1_L3_GX010010.MP4	6628	1.84295	EGB3-1_L3_GX010010.MP4	222642	61.90672	1
EGB3-2	0	P68	EGB3-2_L1_GX010011.MP4	6229	1.73200	EGB3-2_L1_GX010011.MP4	222166	61.77437	1
EGB3-3	0	P57	EGB3-3_L6_GX010017.MP4	12316	3.42453	EGB3-3_L6_GX010017.MP4	228269	63.47134	1
EGB3-4	0	P58	EGB3-4_L5_GX010008.MP4	8184	2.27560	EGB3-4_L5_GX010008.MP4	224106	62.31379	1
EGB3-5	0	P69	EGB3-5_L6_GX010015.MP4	3855	1.07190	EGB3-5_L6_GX010015.MP4	219837	61.12678	1
EGB5-3	0	P70	EGB5-3_L9_GX010009.MP4	6030	1.67667	EGB5-3_L9_GX010009.MP4	221834	61.68205	1
EGB5-4	0	P71	EGB5-4_L4_GX010009_1.MP4	9735	2.70687	EGB5-4_L4_GX010009_1.MP4	225704	62.75813	1
EGB5-5	0	P72	EGB5-5_L8_GX010008.MP4	8673	2.41157	EGB5-5_L8_GX010008.MP4	224641	62.46255	1
EGB6-1	0	P73	EGB6-1_L9_GX010010.MP4	7973	2.21693	EGB6-1_L9_GX010010.MP4	223940	62.26764	1
EGB6-2	0	P88	EGB6-2_L2_GX010012.MP4	4290	1.19286	EGB6-2_L2_GX010012.MP4	220196	61.22660	1
EGB6-3	0	P74	EGB6-3_L1_GX010012.MP4	6763	1.88049	EGB6-3_L1_GX010012.MP4	222706	61.92452	1
