"","longitude_dd","latitude_dd","sample_url","sample","date_time","depth_m","status","site","location","annotation_parameters","observer_count","observer_length","observer_habitat_downward","observer_habitat_forward","observer_habitat_backward","observer_habitat_panoramic","successful_count","successful_length","successful_habitat_downward","successful_habitat_forward","successful_habitat_backward","successful_habitat_panoramic","map_marker_colour_rgb","synthesis","campaignid","derived_from_sample"
"22",114.9568167,-34.10268853,"https://dev.globalarchive.org/api/data/SynthesisSample/1739611/?format=feather","CF5_2",2019-02-14 02:00:00,39,"No-Take","Cf5","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"23",114.9565455,-34.10798857,"https://dev.globalarchive.org/api/data/SynthesisSample/1739612/?format=feather","CF5_3",2019-02-14 02:00:00,38,"No-Take","Cf5","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"24",114.9603426,-34.10776394,"https://dev.globalarchive.org/api/data/SynthesisSample/1739613/?format=feather","CF5_4",2019-02-14 02:00:00,34,"No-Take","Cf5","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"25",114.9542673,-34.10524869,"https://dev.globalarchive.org/api/data/SynthesisSample/1739614/?format=feather","CF5_5",2019-02-14 02:00:00,40,"No-Take","Cf5","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/456/?format=feather","https://dev.globalarchive.org/api/data/Annotator/456/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"26",114.9703754,-34.12748236,"https://dev.globalarchive.org/api/data/SynthesisSample/1739615/?format=feather","CF6_1",2019-02-14 01:00:00,32,"Fished","Cf6","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"27",114.965166,-34.13098583,"https://dev.globalarchive.org/api/data/SynthesisSample/1739616/?format=feather","CF6_2",2019-02-14 01:00:00,38,"Fished","Cf6","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"28",114.9707552,-34.13103076,"https://dev.globalarchive.org/api/data/SynthesisSample/1739617/?format=feather","CF6_3",2019-02-14 01:00:00,33,"Fished","Cf6","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"29",114.9674264,-34.12853396,"https://dev.globalarchive.org/api/data/SynthesisSample/1739618/?format=feather","CF6_4",2019-02-14 01:00:00,34,"Fished","Cf6","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"30",114.9640807,-34.12694341,"https://dev.globalarchive.org/api/data/SynthesisSample/1739619/?format=feather","CF6_5",2019-02-14 01:00:00,37.8,"Fished","Cf6","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"31",114.9777513,-34.14449737,"https://dev.globalarchive.org/api/data/SynthesisSample/1739620/?format=feather","CF7_1",2019-02-14 01:00:00,34,"Fished","Cf7","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
